thermal_demand;electricity_price;co2_price;gas_price;irradiance_riga
5789.40;190;84.03;74.4;0
5939.46;177.44;84.03;74.4;0
6600.55;179.99;84.03;74.4;0
6803.71;165.05;84.03;74.4;0
6714.92;145.81;84.03;74.4;0
6134.11;139.73;84.03;74.4;0
5831.86;132.25;84.03;74.4;0
5707.51;133.59;84.03;74.4;0
5637.72;120.01;84.03;74.4;0
5560.54;123.58;84.03;79.12;0
5475.64;120.3;84.03;79.12;0
5427.87;119.99;84.03;79.12;0
5379.20;121.8;84.03;79.12;0
5431.23;123.57;84.03;79.12;0
5650.84;123.68;84.03;79.12;0
6273.46;120;84.03;79.12;0
6471.97;148.35;84.03;79.12;0
6247.38;186;84.03;79.12;0
5931.35;207.46;84.03;79.12;0
6022.07;211.25;84.03;79.12;0
5856.06;209.69;84.03;79.12;0
5886.90;200.83;84.03;79.12;0
5588.40;188.54;84.03;79.12;0
5681.68;185.88;84.03;79.12;0
5692.64;196.5;84.03;79.12;0
5971.57;197.25;84.03;79.12;0
6694.12;222.31;84.03;79.12;0
6725.95;230.82;84.03;79.12;0
6752.66;214.32;84.03;79.12;0
6247.79;207.14;84.03;79.12;0
5984.42;190.33;84.03;79.12;0
5584.75;193.52;84.03;79.12;0
5278.94;175.07;84.03;79.12;0
5067.80;171.69;84.03;79.12;0
4746.95;183.01;84.03;79.12;0
4769.09;185.22;84.03;79.12;0
4890.48;179.73;84.03;79.12;0
4908.45;179.04;84.03;79.12;0
5139.66;179.49;84.03;79.12;0
5636.89;168.23;84.03;79.12;0
5723.45;172.45;84.03;79.12;0
5617.15;184.93;84.03;79.12;0
5483.45;195.31;84.03;79.12;3
5653.60;195.34;84.03;79.12;1
5552.25;195.87;84.03;79.12;0
5556.15;195.41;84.03;79.12;0
5284.69;186.29;84.03;79.12;0
5460.38;184.49;84.03;79.12;0
5631.82;190;84.03;79.12;0
5903.75;194;84.03;79.12;0
6537.34;214.95;84.03;79.12;0
6631.68;239.49;84.03;79.12;0
6718.21;242.97;84.03;79.12;0
6247.17;224.96;84.03;79.12;0
6022.19;204.84;84.03;79.12;0
5718.47;201;84.03;79.12;0
5543.09;179.97;84.03;79.12;0
5353.86;183.33;84.03;79.422;0
5281.15;179.61;84.03;79.422;0
5270.28;178.3;84.03;79.422;0
5301.78;177.46;84.03;79.422;0
5346.81;177.61;84.03;79.422;0
5627.38;187.48;84.03;79.422;0
6283.85;225.19;84.03;79.422;0
6503.41;265;84.03;79.422;0
6575.05;300.02;84.03;79.422;0
5957.30;299.39;84.03;79.422;0
6113.61;275.88;84.03;79.422;0
6145.68;270;84.03;79.422;0
6066.54;245.84;84.03;79.422;0
5891.84;240.08;84.03;79.422;0
6096.57;244;84.03;79.422;0
6270.01;256.49;84.03;79.422;0
6430.18;273.57;84.03;79.422;0
7029.04;307.38;84.03;79.422;0
7108.56;341.85;84.03;79.422;0
7045.80;315.31;84.03;79.422;0
6540.92;274.98;84.03;79.422;0
6307.99;250;84.03;79.422;0
5963.95;226.81;84.03;79.422;0
5833.50;206.92;84.03;79.422;0
5480.61;215.98;84.03;91.752;0
5364.66;212.9;84.03;91.752;0
5322.73;203.75;84.03;91.752;0
5305.76;196.24;84.03;91.752;0
5579.99;198.99;84.03;91.752;0
5812.29;219.03;84.03;91.752;0
6494.91;279.96;84.03;91.752;0
6590.26;356.24;84.03;91.752;0
6415.17;399.85;84.03;91.752;0
6316.52;399.01;84.03;91.752;0
6610.61;360;84.03;91.752;1
6533.92;347.4;84.03;91.752;1
6591.56;328.92;84.03;91.752;2
6351.93;305;84.03;91.752;1
6291.76;310;84.03;91.752;0
6602.77;313;84.03;91.752;0
6722.45;318.67;84.03;91.752;0
7351.79;366.43;84.03;91.752;0
7498.14;399.06;84.03;91.752;0
7348.65;373.75;84.03;91.752;0
6644.87;309.68;84.03;91.752;0
6391.07;265;84.03;91.752;0
6170.42;240.89;84.03;91.752;0
5985.84;215.17;84.03;91.752;0
5933.11;209.57;84.03;93.457;0
5923.61;212.36;84.03;93.457;0
6042.75;215.41;84.03;93.457;0
6147.78;209.89;84.03;93.457;0
6193.34;209.14;84.03;93.457;0
6385.88;215.09;84.03;93.457;0
6970.35;240.16;84.03;93.457;0
7269.00;294.88;84.03;93.457;0
7382.94;312.32;84.03;93.457;1
7154.79;312.69;84.03;93.457;5
7316.20;300.02;84.03;93.457;15
7183.75;282.65;84.03;93.457;16
7111.76;259.68;84.03;93.457;1
6721.51;241.54;84.03;93.457;0
6881.90;238.24;84.03;93.457;0
6943.65;236.76;84.03;93.457;0
6747.49;240.11;84.03;93.457;0
7312.15;268.08;84.03;93.457;0
7462.41;262.46;84.03;93.457;0
7278.65;224.45;84.03;93.457;0
6630.51;217.43;84.03;93.457;0
6527.64;171.34;84.03;93.457;0
6556.20;142.94;84.03;93.457;0
6476.27;122.34;84.03;93.457;0
6384.81;131.59;84.03;91.861;0
6251.01;115.02;84.03;91.861;0
6133.26;108.65;84.03;91.861;0
6011.46;100.94;84.03;91.861;0
6187.69;103.06;84.03;91.861;0
6496.23;110.03;84.03;91.861;0
6944.44;104.03;84.03;91.861;0
7082.79;138.79;84.03;91.861;0
7359.13;138.23;84.03;91.861;0
7543.59;128.79;84.03;91.861;0
8026.64;128.74;84.03;91.861;0
7955.57;127.8;84.03;91.861;0
7824.76;126.24;84.03;91.861;0
7581.80;135.78;84.03;91.861;0
7547.09;139.66;84.03;91.861;0
7872.06;138.69;84.03;91.861;0
7968.89;137.58;84.03;91.861;0
8510.86;141.17;84.03;91.861;0
8734.53;125.96;84.03;91.861;0
8641.29;114.73;84.03;91.861;0
7972.38;104.04;84.03;91.861;0
7766.84;110.1;84.03;91.861;0
7651.42;101.19;84.03;91.861;0
7375.96;86.31;84.03;91.861;0
7103.82;82.03;84.03;92.469;0
6852.60;84.03;84.03;92.469;0
6660.98;81.59;84.03;92.469;0
6416.83;77.26;84.03;92.469;0
6453.33;100.7;84.03;92.469;0
6637.74;100.69;84.03;92.469;0
7050.94;121.69;84.03;92.469;0
7238.31;175.29;84.03;92.469;0
7276.66;186.17;84.03;92.469;0
7298.06;198.05;84.03;92.469;0
7703.76;190.92;84.03;92.469;0
7582.79;220.07;87.94;92.469;0
7431.16;214.74;89.25;92.469;0
7037.85;231.6;89.25;92.469;0
6869.87;233.67;89.25;92.469;0
6755.97;237.08;89.25;92.469;0
6739.05;237.92;89.25;92.469;0
7235.90;260;89.25;92.469;0
7394.43;255.6;89.25;92.469;0
7433.07;222.37;89.25;92.469;0
6912.59;222.74;89.25;92.469;0
6682.46;177.8;89.25;92.469;0
6559.26;148.98;89.25;92.469;0
6321.05;123.36;89.25;92.469;0
6354.33;130.25;89.25;92.726;0
6299.85;115.01;89.25;92.726;0
6346.18;105.64;89.25;92.726;0
6381.59;77.57;89.25;92.726;0
6394.06;43.95;89.25;92.726;0
6600.47;79.07;89.25;92.726;0
7325.86;32.94;89.25;92.726;0
7450.56;85.64;89.25;92.726;8
7652.72;85.18;89.25;92.726;73
7510.55;101.13;89.25;92.726;67
7883.22;88.51;89.25;92.726;16
7749.04;118.32;89.25;92.726;1
7760.68;101.02;89.25;92.726;0
7324.75;85.64;89.25;92.726;0
7303.36;105.59;89.25;92.726;0
7274.42;100.01;89.25;92.726;0
7445.69;108.14;89.25;92.726;0
7949.88;118.75;89.25;92.726;0
7901.13;123.02;89.25;92.726;0
7709.80;101.19;89.25;92.726;0
6932.33;84.47;89.25;92.726;0
7063.18;51.62;89.25;92.726;0
7043.45;88.81;89.25;92.726;0
7013.15;79.63;89.25;92.726;0
6981.55;2.3;89.25;92.726;0
6971.49;4.49;89.25;92.726;0
6959.28;10.08;89.25;92.726;0
6890.63;10.01;89.25;92.726;0
6985.88;10.15;89.25;92.726;0
7442.82;11.37;89.25;92.726;0
8275.06;3.73;89.25;92.726;0
8615.94;9.95;89.25;92.726;0
8333.67;11.09;89.25;92.726;0
8220.33;11.98;89.25;92.726;0
8450.14;11.09;89.25;92.726;0
8241.71;11.78;89.25;92.726;0
8188.07;10;89.25;92.726;0
8120.52;10;89.25;92.726;0
8123.82;11.69;89.25;92.726;0
8205.39;14.04;89.25;92.726;0
8352.03;60.06;89.25;92.726;0
8883.14;171.74;89.25;92.726;0
8911.95;158.07;89.25;92.726;0
8765.06;163.37;89.25;92.726;0
8085.02;157.94;89.25;92.726;0
8153.77;158.13;89.25;92.726;0
7940.97;159.94;89.25;92.726;0
7657.71;144.21;89.25;92.726;0
7511.17;122.16;89.25;92.831;0
7440.66;110.17;89.25;92.831;0
7487.91;105.3;89.25;92.831;0
7644.09;100;89.25;92.831;0
7762.50;100.13;89.25;92.831;0
7760.67;135.4;89.25;92.831;0
8379.34;185.14;89.25;92.831;0
8655.78;240;89.25;92.831;0
8256.95;248.92;89.25;92.831;0
7752.17;251.92;89.25;92.831;0
8058.56;248.08;89.25;92.831;18
7961.64;243.42;89.25;92.831;6
7642.68;238.11;89.25;92.831;0
