thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price,loss_ratio,thermal_demand_with_losses
7278.47,79.09,82.25,79.105,13.1877,27.95,0.016399999999999998,7397.836908
7217.21,79.09,82.25,79.105,12.8734,27.95,0.016399999999999998,7335.572244
7094.08,73.82,82.25,79.105,10.469,27.95,0.016399999999999998,7210.422912
6470.67,73.06,82.25,79.105,12.5983,27.95,0.016399999999999998,6576.788988
6399.11,80.19,82.25,79.105,7.8278,27.95,0.016399999999999998,6504.055404
6245.32,67.35,82.25,79.105,6.0075,27.95,0.016399999999999998,6347.743248
6158.65,61.65,82.25,79.105,6.1052,27.95,0.016399999999999998,6259.651859999999
6064.77,64.02,82.25,79.105,6.0264,27.95,0.016399999999999998,6164.232228
6179.49,62.11,82.25,79.105,6.1404,27.95,0.016399999999999998,6280.833635999999
6079.49,62.93,82.25,79.105,5.9896,27.95,0.016399999999999998,6179.193636
6058.97,64.88,82.25,79.105,6.3641,27.95,0.016399999999999998,6158.337108
6212.18,65.38,82.25,79.105,6.4142,27.95,0.016399999999999998,6314.059752
6396.33,65.2,82.25,79.105,6.1838,27.95,0.016399999999999998,6501.229812
6734.16,67.62,82.25,79.105,10.2899,27.95,0.016399999999999998,6844.600224
7032.44,72.01,82.25,79.105,10.3092,27.95,0.016399999999999998,7147.772015999999
7418.62,76.79,82.25,79.105,10.5062,27.95,0.016399999999999998,7540.285368
7395.4,81.38,82.25,79.105,11.4867,27.95,0.016399999999999998,7516.68456
7818.57,81.33,82.25,79.105,13.5726,27.95,0.016399999999999998,7946.794548
7745.13,82.79,81.7,79.105,10.6789,27.95,0.016399999999999998,7872.150132
7601.41,81.07,81.52,79.105,11.2517,27.95,0.016399999999999998,7726.073124
7504.28,77.04,81.52,79.105,13.01,27.95,0.016399999999999998,7627.350192
7882.24,79.15,81.52,79.105,13.3632,27.95,0.016399999999999998,8011.508736
8081.55,82.32,81.52,79.105,13.4253,27.95,0.016399999999999998,8214.08742
8216.91,86.62,81.52,79.105,12.5627,27.95,0.016399999999999998,8351.667324
