thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price
8473.69,115.57,81.52,89.824,13.2034,27.95
8300.21,110.66,81.52,89.824,14.8607,27.95
7733.36,103.15,81.52,89.824,13.0043,27.95
7512.92,92.95,81.52,89.824,10.9378,27.95
7367.62,89.49,81.52,89.824,7.4168,27.95
7083.26,86.43,81.52,89.824,7.1112,27.95
6849.93,82.19,81.52,89.824,6.9589,29.35
6601.83,81.4,81.52,89.824,6.8942,29.35
6474.83,80.07,81.52,89.824,6.8663,29.35
6485.34,78.26,81.52,89.824,6.0213,29.35
6406.9,77.59,81.52,89.824,7.3451,29.35
6489.81,83.45,81.52,89.824,7.1546,29.35
6826.88,123,81.52,89.824,12.5532,29.35
7012.31,193.42,81.52,89.824,11.5682,29.35
6867.57,275.59,81.52,89.824,12.4621,29.35
6839.7,270.56,81.52,89.824,15.2402,29.35
7231.33,249.93,81.52,89.824,14.1279,29.35
7127.37,200.55,81.52,89.824,16.3933,29.35
7169.88,170.04,81.52,89.824,16.8375,29.35
6814.55,141.97,81.52,89.824,13.7304,29.35
6878.57,143.58,81.52,89.824,18.1906,29.35
6896.58,156.16,81.52,89.824,12.662,29.35
7008.84,170.08,81.52,89.824,12.1139,29.35
7520.32,170.81,81.52,89.824,10.0722,29.35
7609.74,164.52,81.52,89.824,14.1397,29.35
7504.2,145.42,81.52,89.824,15.0038,29.35
6983.85,151.51,81.52,89.824,13.9338,29.35
6799.29,131.44,81.52,89.824,11.8594,29.35
6683.5,121.14,81.52,89.824,6.7564,29.35
6557.2,102.43,81.52,89.824,6.1962,29.35
6330.23,95.63,81.52,90.021,7.2391,29.35
6294.03,84.26,81.52,90.021,7.0547,29.35
6154.54,82.1,81.52,90.021,6.45,29.35
6038.4,82.09,81.52,90.021,6.6753,29.35
6135.81,90.06,81.52,90.021,7.721,29.35
6359.14,134.58,81.52,90.021,7.0114,29.35
6952.02,150,81.52,90.021,9.0635,29.35
7027.84,147.72,81.52,90.021,11.1865,29.35
6849.52,122.02,81.52,90.021,14.2755,29.35
6684.39,105.59,81.52,90.021,15.7045,29.35
6975.31,110.33,81.52,90.021,16.3174,29.35
6947.83,111.1,81.52,90.021,16.2125,29.35
6900.26,116.49,81.52,90.021,16.5934,29.35
6683.45,119.9,81.52,90.021,13.2712,29.35
6842.06,117.97,81.52,90.021,16.2652,29.35
7017.43,121.82,81.52,90.021,20.0846,29.35
6999.17,125.24,81.52,90.021,15.863,29.35
7602.25,136.44,81.52,90.021,14.5925,29.35
7579.72,120.62,81.52,90.021,14.6218,29.35
7626.15,110.96,81.52,90.021,13.4139,29.35
7090.13,106.61,81.52,90.021,14.7984,29.35
6829.01,97.51,81.52,90.021,11.2987,29.35
6441.43,91.36,81.52,90.021,7.1641,29.35
6318.68,68,81.52,90.021,6.4242,29.35
6285.51,47.97,81.52,80.637,6.6727,29.35
6266.08,49.26,81.52,80.637,6.0837,29.35
6223.32,46.55,81.52,80.637,7.0287,29.35
6230.3,44.95,81.52,80.637,7.4976,29.35
6266.14,46.72,81.52,80.637,7.3817,29.35
6474,78.8,81.52,80.637,7.2105,29.35
7248.63,78.8,81.52,80.637,10.5175,29.35
7482.04,119,81.52,80.637,10.6304,29.35
7377.9,125.89,81.52,80.637,14.8022,29.35
7003.95,122.17,81.52,80.637,15.5746,29.35
7231.51,125.02,81.52,80.637,15.1932,29.35
7163.61,125.01,81.52,80.637,16.3496,29.35
7050.4,125,81.52,80.637,16.696,29.35
6792.95,125.01,81.52,80.637,14.362,29.35
