thermal_demand;electricity_price;co2_price;gas_price
6545.93;105.37;81.52;74.748
6789.20;111.32;81.52;74.748
6956.62;134.86;81.52;74.748
7513.51;176.05;81.52;74.748
7496.21;192.74;81.52;74.748
7379.60;180;81.52;74.748
6651.21;152.33;81.52;74.748
6259.05;137.91;81.52;74.748
6161.44;131.76;81.52;74.748
6122.55;121.39;81.52;74.748
5835.66;119.19;81.52;74.4
5669.71;117.87;81.52;74.4
5542.05;110.92;81.52;74.4
5523.45;113.14;81.52;74.4
5528.46;119.15;81.52;74.4
5547.56;120.73;81.52;74.4
5824.63;148.76;81.52;74.4
6126.30;207.59;81.52;74.4
6464.79;223.15;81.52;74.4
6192.13;215.79;81.52;74.4
6524.86;206.51;81.52;74.4
6447.27;206.43;83.4;74.4
6267.81;190;84.03;74.4
5338.33;170.08;84.03;74.4
5716.90;169.29;84.03;74.4
5789.40;190;84.03;74.4
5939.46;177.44;84.03;74.4
6600.55;179.99;84.03;74.4
6803.71;165.05;84.03;74.4
6714.92;145.81;84.03;74.4
6134.11;139.73;84.03;74.4
5831.86;132.25;84.03;74.4
5707.51;133.59;84.03;74.4
5637.72;120.01;84.03;74.4
5560.54;123.58;84.03;79.12
5475.64;120.3;84.03;79.12
5427.87;119.99;84.03;79.12
5379.20;121.8;84.03;79.12
5431.23;123.57;84.03;79.12
5650.84;123.68;84.03;79.12
6273.46;120;84.03;79.12
6471.97;148.35;84.03;79.12
6247.38;186;84.03;79.12
5931.35;207.46;84.03;79.12
6022.07;211.25;84.03;79.12
5856.06;209.69;84.03;79.12
5886.90;200.83;84.03;79.12
5588.40;188.54;84.03;79.12
5681.68;185.88;84.03;79.12
5692.64;196.5;84.03;79.12
5971.57;197.25;84.03;79.12
6694.12;222.31;84.03;79.12
6725.95;230.82;84.03;79.12
6752.66;214.32;84.03;79.12
6247.79;207.14;84.03;79.12
5984.42;190.33;84.03;79.12
5584.75;193.52;84.03;79.12
5278.94;175.07;84.03;79.12
5067.80;171.69;84.03;79.12
4746.95;183.01;84.03;79.12
4769.09;185.22;84.03;79.12
4890.48;179.73;84.03;79.12
4908.45;179.04;84.03;79.12
5139.66;179.49;84.03;79.12
5636.89;168.23;84.03;79.12
5723.45;172.45;84.03;79.12
5617.15;184.93;84.03;79.12
5483.45;195.31;84.03;79.12
5653.60;195.34;84.03;79.12
5552.25;195.87;84.03;79.12
5556.15;195.41;84.03;79.12
5284.69;186.29;84.03;79.12
5460.38;184.49;84.03;79.12
5631.82;190;84.03;79.12
5903.75;194;84.03;79.12
6537.34;214.95;84.03;79.12
6631.68;239.49;84.03;79.12
6718.21;242.97;84.03;79.12
6247.17;224.96;84.03;79.12
6022.19;204.84;84.03;79.12
5718.47;201;84.03;79.12
5543.09;179.97;84.03;79.12
5353.86;183.33;84.03;79.422
5281.15;179.61;84.03;79.422
5270.28;178.3;84.03;79.422
5301.78;177.46;84.03;79.422
5346.81;177.61;84.03;79.422
5627.38;187.48;84.03;79.422
6283.85;225.19;84.03;79.422
6503.41;265;84.03;79.422
6575.05;300.02;84.03;79.422
5957.30;299.39;84.03;79.422
6113.61;275.88;84.03;79.422
6145.68;270;84.03;79.422
6066.54;245.84;84.03;79.422
5891.84;240.08;84.03;79.422
6096.57;244;84.03;79.422
6270.01;256.49;84.03;79.422
6430.18;273.57;84.03;79.422
7029.04;307.38;84.03;79.422
7108.56;341.85;84.03;79.422
7045.80;315.31;84.03;79.422
6540.92;274.98;84.03;79.422
6307.99;250;84.03;79.422
5963.95;226.81;84.03;79.422
5833.50;206.92;84.03;79.422
5480.61;215.98;84.03;91.752
5364.66;212.9;84.03;91.752
5322.73;203.75;84.03;91.752
5305.76;196.24;84.03;91.752
5579.99;198.99;84.03;91.752
5812.29;219.03;84.03;91.752
6494.91;279.96;84.03;91.752
6590.26;356.24;84.03;91.752
6415.17;399.85;84.03;91.752
6316.52;399.01;84.03;91.752
6610.61;360;84.03;91.752
6533.92;347.4;84.03;91.752
6591.56;328.92;84.03;91.752
6351.93;305;84.03;91.752
6291.76;310;84.03;91.752
6602.77;313;84.03;91.752
6722.45;318.67;84.03;91.752
7351.79;366.43;84.03;91.752
7498.14;399.06;84.03;91.752
7348.65;373.75;84.03;91.752
6644.87;309.68;84.03;91.752
6391.07;265;84.03;91.752
6170.42;240.89;84.03;91.752
5985.84;215.17;84.03;91.752
5933.11;209.57;84.03;93.457
5923.61;212.36;84.03;93.457
6042.75;215.41;84.03;93.457
6147.78;209.89;84.03;93.457
6193.34;209.14;84.03;93.457
6385.88;215.09;84.03;93.457
6970.35;240.16;84.03;93.457
7269.00;294.88;84.03;93.457
7382.94;312.32;84.03;93.457
7154.79;312.69;84.03;93.457
7316.20;300.02;84.03;93.457
7183.75;282.65;84.03;93.457
7111.76;259.68;84.03;93.457
6721.51;241.54;84.03;93.457
6881.90;238.24;84.03;93.457
6943.65;236.76;84.03;93.457
6747.49;240.11;84.03;93.457
7312.15;268.08;84.03;93.457
7462.41;262.46;84.03;93.457
7278.65;224.45;84.03;93.457
6630.51;217.43;84.03;93.457
6527.64;171.34;84.03;93.457
6556.20;142.94;84.03;93.457
6476.27;122.34;84.03;93.457
6384.81;131.59;84.03;91.861
6251.01;115.02;84.03;91.861
6133.26;108.65;84.03;91.861
6011.46;100.94;84.03;91.861
6187.69;103.06;84.03;91.861
6496.23;110.03;84.03;91.861
6944.44;104.03;84.03;91.861
7082.79;138.79;84.03;91.861
7359.13;138.23;84.03;91.861
7543.59;128.79;84.03;91.861
8026.64;128.74;84.03;91.861
7955.57;127.8;84.03;91.861
7824.76;126.24;84.03;91.861
7581.80;135.78;84.03;91.861
7547.09;139.66;84.03;91.861
7872.06;138.69;84.03;91.861
7968.89;137.58;84.03;91.861
8510.86;141.17;84.03;91.861
8734.53;125.96;84.03;91.861
8641.29;114.73;84.03;91.861
7972.38;104.04;84.03;91.861
7766.84;110.1;84.03;91.861
7651.42;101.19;84.03;91.861
7375.96;86.31;84.03;91.861
7103.82;82.03;84.03;92.469
6852.60;84.03;84.03;92.469
6660.98;81.59;84.03;92.469
6416.83;77.26;84.03;92.469
6453.33;100.7;84.03;92.469
6637.74;100.69;84.03;92.469
7050.94;121.69;84.03;92.469
7238.31;175.29;84.03;92.469
7276.66;186.17;84.03;92.469
7298.06;198.05;84.03;92.469
7703.76;190.92;84.03;92.469
7582.79;220.07;87.94;92.469
7431.16;214.74;89.25;92.469
7037.85;231.6;89.25;92.469
6869.87;233.67;89.25;92.469
6755.97;237.08;89.25;92.469
6739.05;237.92;89.25;92.469
7235.90;260;89.25;92.469
7394.43;255.6;89.25;92.469
7433.07;222.37;89.25;92.469
6912.59;222.74;89.25;92.469
6682.46;177.8;89.25;92.469
6559.26;148.98;89.25;92.469
6321.05;123.36;89.25;92.469
6354.33;130.25;89.25;92.726
6299.85;115.01;89.25;92.726
6346.18;105.64;89.25;92.726
6381.59;77.57;89.25;92.726
6394.06;43.95;89.25;92.726
6600.47;79.07;89.25;92.726
7325.86;32.94;89.25;92.726
7450.56;85.64;89.25;92.726
7652.72;85.18;89.25;92.726
7510.55;101.13;89.25;92.726
7883.22;88.51;89.25;92.726
7749.04;118.32;89.25;92.726
7760.68;101.02;89.25;92.726
7324.75;85.64;89.25;92.726
7303.36;105.59;89.25;92.726
7274.42;100.01;89.25;92.726
7445.69;108.14;89.25;92.726
7949.88;118.75;89.25;92.726
7901.13;123.02;89.25;92.726
7709.80;101.19;89.25;92.726
6932.33;84.47;89.25;92.726
7063.18;51.62;89.25;92.726
7043.45;88.81;89.25;92.726
7013.15;79.63;89.25;92.726
6981.55;2.3;89.25;92.726
6971.49;4.49;89.25;92.726
6959.28;10.08;89.25;92.726
6890.63;10.01;89.25;92.726
6985.88;10.15;89.25;92.726
7442.82;11.37;89.25;92.726
8275.06;3.73;89.25;92.726
8615.94;9.95;89.25;92.726
8333.67;11.09;89.25;92.726
8220.33;11.98;89.25;92.726
8450.14;11.09;89.25;92.726
8241.71;11.78;89.25;92.726
8188.07;10;89.25;92.726
8120.52;10;89.25;92.726
8123.82;11.69;89.25;92.726
8205.39;14.04;89.25;92.726
8352.03;60.06;89.25;92.726
8883.14;171.74;89.25;92.726
8911.95;158.07;89.25;92.726
8765.06;163.37;89.25;92.726
8085.02;157.94;89.25;92.726
8153.77;158.13;89.25;92.726
7940.97;159.94;89.25;92.726
7657.71;144.21;89.25;92.726
7511.17;122.16;89.25;92.831
7440.66;110.17;89.25;92.831
7487.91;105.3;89.25;92.831
7644.09;100;89.25;92.831
7762.50;100.13;89.25;92.831
7760.67;135.4;89.25;92.831
8379.34;185.14;89.25;92.831
8655.78;240;89.25;92.831
8256.95;248.92;89.25;92.831
7752.17;251.92;89.25;92.831
8058.56;248.08;89.25;92.831
7961.64;243.42;89.25;92.831
7642.68;238.11;89.25;92.831
7352.49;221.52;89.25;92.831
7379.11;206.28;89.25;92.831
7535.89;191.75;89.25;92.831
8023.23;193.54;89.25;92.831
8721.87;240.67;89.25;92.831
8873.77;253.93;89.25;92.831
8720.03;240.4;89.25;92.831
7993.45;231.59;89.25;92.831
7727.20;212.96;89.25;92.831
7703.46;201.96;89.25;92.831
7541.86;161.51;89.25;92.831
7127.67;160.15;89.25;86.425
7033.87;154.54;89.25;86.425
7076.63;156.24;89.25;86.425
7138.56;155.17;89.25;86.425
7521.42;165.13;89.25;86.425
7881.06;163.01;89.25;86.425
8590.10;206.15;89.25;86.425
8985.47;239.17;89.25;86.425
8447.31;243.72;89.25;86.425
8106.66;213;89.25;86.425
8205.27;209.94;89.25;86.425
8111.84;172.81;89.25;86.425
7819.03;143.7;89.25;86.425
7606.77;137.69;89.25;86.425
7656.35;130.9;89.25;86.425
7558.36;126.42;89.25;86.425
7627.45;124.2;89.25;86.425
7983.04;127.37;89.25;86.425
8053.55;129.95;89.25;86.425
7963.56;121.63;89.25;86.425
7426.33;101.03;89.25;86.425
7243.08;84.66;89.25;86.425
7076.47;84.61;89.25;86.425
6779.52;54.74;89.25;86.425
6978.14;35.54;89.25;76.484
6980.60;11.84;89.25;76.484
6762.78;10.05;89.25;76.484
6755.09;10.36;89.25;76.484
6726.00;20.03;89.25;76.484
6773.16;67.31;89.25;76.484
7345.43;105.03;89.25;76.484
7574.75;136.92;89.25;76.484
7329.30;150.15;89.25;76.484
6819.52;136.14;89.25;76.484
7110.35;134.6;89.25;76.484
7236.86;135.71;89.25;76.484
6936.04;133.1;89.25;76.484
6762.91;138.92;89.25;76.484
6893.19;155.13;89.25;76.484
7004.20;193.09;89.25;76.484
7262.50;201.53;89.25;76.484
7833.22;238.01;89.25;76.484
7862.65;266.9;89.25;76.484
7814.43;265;89.25;76.484
7088.32;237;89.25;76.484
6888.01;203.47;89.25;76.484
6910.70;195.21;89.25;76.484
6846.79;184.26;89.25;76.484
6872.86;156.98;89.25;77.928
6746.83;159.06;89.25;77.928
6761.43;159.33;89.25;77.928
6908.60;157.56;89.25;77.928
7136.07;158.81;89.25;77.928
7446.82;162.92;89.25;77.928
7974.69;192.17;89.25;77.928
