thermal_demand;electricity_price;co2_price;gas_price;waste_heat
6409.22;83.49;81.52;74.748;9.4025
6328.19;95.87;81.52;74.748;12.8487
6593;99.71;81.52;74.748;10.0615
6984.67;99.86;81.52;74.748;11.9224
6860.59;95.87;81.52;74.748;13.3125
6747.25;95.88;81.52;74.748;13.0074
6538.51;95.81;81.52;74.748;12.3366
6545.93;91;81.52;74.748;10.8678
6789.2;95.88;81.52;74.748;12.0556
6956.62;102.01;81.52;74.748;12.1791
7513.51;97.4;81.52;74.748;12.3751
7496.21;101.11;81.52;74.748;12.7583
7379.6;95;81.52;74.748;11.0101
6651.21;95.97;81.52;74.748;11.8064
6259.05;77.2;81.52;74.748;10.9824
6161.44;75.11;81.52;74.748;6.1738
6122.55;69.13;81.52;74.748;6.094
5835.66;71.73;81.52;74.4;5.3366
5669.71;58.3;81.52;74.4;6.0335
5542.05;55.15;81.52;74.4;5.7358
5523.45;50.89;81.52;74.4;5.8157
5528.46;59.33;81.52;74.4;6.1368
5547.56;76.09;81.52;74.4;6.3009
5824.63;78.44;81.52;74.4;11.0952
6126.3;64.13;81.52;74.4;8.9258
6464.79;65.21;81.52;74.4;13.2913
6192.13;56.8;81.52;74.4;13.0838
6524.86;50.45;81.52;74.4;13.7398
6447.27;50.78;83.4;74.4;13.9265
6267.81;43.99;84.03;74.4;12.4479
5338.33;42.52;84.03;74.4;12.8009
5716.9;53.4;84.03;74.4;13.0303
5789.4;73;84.03;74.4;10.6853
5939.46;77.59;84.03;74.4;12.3144
6600.55;74.36;84.03;74.4;13.3666
6803.71;78.13;84.03;74.4;12.7229
6714.92;74.79;84.03;74.4;10.2395
6134.11;61.15;84.03;74.4;11.7092
5831.86;45.04;84.03;74.4;10.8931
5707.51;40.01;84.03;74.4;6.1779
5637.72;29.03;84.03;74.4;6.3332
5560.54;33.02;84.03;79.12;6.7995
5475.64;32.56;84.03;79.12;7.1228
5427.87;32.1;84.03;79.12;6.8259
5379.2;32.05;84.03;79.12;6.9594
5431.23;33.06;84.03;79.12;6.3046
5650.84;49.16;84.03;79.12;6.8069
6273.46;78.43;84.03;79.12;13.7466
6471.97;80.52;84.03;79.12;13.2644
6247.38;82.52;84.03;79.12;14.2745
5931.35;82.64;84.03;79.12;13.9643
6022.07;82.44;84.03;79.12;17.2554
5856.06;77.18;84.03;79.12;13.4402
5886.9;79.75;84.03;79.12;13.0689
5588.4;81.51;84.03;79.12;12.1824
5681.68;81.94;84.03;79.12;15.5973
5692.64;83.68;84.03;79.12;14.0219
5971.57;87.53;84.03;79.12;10.7698
6694.12;85.91;84.03;79.12;15.3345
6725.95;86.54;84.03;79.12;16.0493
6752.66;77.6;84.03;79.12;15.5618
6247.79;79.4;84.03;79.12;12.5976
5984.42;28.84;84.03;79.12;8.4611
5584.75;26.07;84.03;79.12;7.4451
5278.94;23.03;84.03;79.12;6.6131
5067.8;15.84;84.03;79.12;7.0633
4746.95;9.86;84.03;79.12;7.2381
4769.09;9.14;84.03;79.12;7.0342
4890.48;4.17;84.03;79.12;6.7859
4908.45;10.22;84.03;79.12;7.4261
5139.66;21.63;84.03;79.12;6.7388
5636.89;59.07;84.03;79.12;10.9063
5723.45;74.01;84.03;79.12;9.6861
5617.15;84.93;84.03;79.12;14.6924
5483.45;81.65;84.03;79.12;14.6296
5653.6;74.03;84.03;79.12;13.1132
5552.25;69.35;84.03;79.12;15.3847
5556.15;61.06;84.03;79.12;17.6302
5284.69;64.84;84.03;79.12;16.4287
5460.38;59.1;84.03;79.12;16.1183
5631.82;67.08;84.03;79.12;17.9605
5903.75;91.89;84.03;79.12;14.6333
6537.34;68.46;84.03;79.12;15.6257
6631.68;66.78;84.03;79.12;18.2466
6718.21;63.34;84.03;79.12;13.3412
6247.17;60.46;84.03;79.12;14.5554
6022.19;52.45;84.03;79.12;12.6076
5718.47;40.82;84.03;79.12;7.0851
5543.09;33.26;84.03;79.12;7.0293
5353.86;42.02;84.03;79.422;7.554
5281.15;39.76;84.03;79.422;6.9541
5270.28;50.01;84.03;79.422;6.9123
5301.78;48.92;84.03;79.422;6.9353
5346.81;55.6;84.03;79.422;6.9013
5627.38;80.05;84.03;79.422;7.1255
6283.85;92.38;84.03;79.422;15.0291
6503.41;94.27;84.03;79.422;12.681
6575.05;92.23;84.03;79.422;16.4042
5957.3;94.26;84.03;79.422;12.8855
6113.61;93.04;84.03;79.422;13.3449
6145.68;92.73;84.03;79.422;17.1385
6066.54;94.24;84.03;79.422;14.2477
5891.84;92.11;84.03;79.422;15.8248
6096.57;81.39;84.03;79.422;16.5732
6270.01;88.74;84.03;79.422;17.3805
6430.18;92.47;84.03;79.422;16.4419
7029.04;91.71;84.03;79.422;14.1008
7108.56;86.93;84.03;79.422;15.822
7045.8;79.84;84.03;79.422;8.405
6540.92;73.08;84.03;79.422;16.9027
6307.99;66.5;84.03;79.422;11.4106
5963.95;44.84;84.03;79.422;6.7476
5833.5;38.53;84.03;79.422;7.2117
5480.61;43.84;84.03;91.752;6.4205
5364.66;43.97;84.03;91.752;6.8914
5322.73;42.76;84.03;91.752;6.5996
5305.76;43.85;84.03;91.752;6.3759
5579.99;45.11;84.03;91.752;7.036
5812.29;51.01;84.03;91.752;6.9691
6494.91;74.34;84.03;91.752;14.1275
6590.26;75.28;84.03;91.752;10.722
6415.17;90.01;84.03;91.752;16.2943
6316.52;86.82;84.03;91.752;9.904
6610.61;83.69;84.03;91.752;14.1195
6533.92;78.66;84.03;91.752;15.6813
6591.56;85.45;84.03;91.752;12.295
6351.93;82.78;84.03;91.752;13.7313
6291.76;85.66;84.03;91.752;16.2737
6602.77;92.07;84.03;91.752;17.4063
6722.45;101.38;84.03;91.752;16.7829
7351.79;122.35;84.03;91.752;12.7768
7498.14;114.3;84.03;91.752;15.4671
7348.65;98.79;84.03;91.752;12.2301
6644.87;91.07;84.03;91.752;11.6586
6391.07;88.11;84.03;91.752;11.9575
6170.42;80.02;84.03;91.752;6.0321
5985.84;75.16;84.03;91.752;7.4283
5933.11;79.99;84.03;93.457;7.0409
5923.61;79.29;84.03;93.457;7.3368
6042.75;79.04;84.03;93.457;6.99
6147.78;79.98;84.03;93.457;7.061
6193.34;94.37;84.03;93.457;6.5205
6385.88;115.94;84.03;93.457;7.3794
6970.35;134.66;84.03;93.457;11.2977
7269;145.88;84.03;93.457;9.0091
7382.94;141.51;84.03;93.457;12.2422
7154.79;135.84;84.03;93.457;13.8223
7316.2;129.87;84.03;93.457;15.7506
7183.75;123.6;84.03;93.457;15.4945
7111.76;120.93;84.03;93.457;13.4081
6721.51;127.08;84.03;93.457;17.7058
6881.9;128.11;84.03;93.457;16.5747
6943.65;134.63;84.03;93.457;15.6281
6747.49;132.29;84.03;93.457;13.9508
7312.15;126.88;84.03;93.457;16.5875
7462.41;114.65;84.03;93.457;17.1673
7278.65;98.61;84.03;93.457;14.0863
6630.51;40;84.03;93.457;16.7721
6527.64;81.79;84.03;93.457;13.3316
6556.2;60.87;84.03;93.457;7.0834
6476.27;52.04;84.03;93.457;6.9402
6384.81;56.58;84.03;91.861;6.1319
6251.01;55.53;84.03;91.861;5.8634
6133.26;56.44;84.03;91.861;6.402
6011.46;55.15;84.03;91.861;6.3776
6187.69;55.76;84.03;91.861;5.9569
6496.23;111.74;84.03;91.861;6.037
